author_name,career_stage,paper_title,paper_year,times_cited,total_authors_listed,coauthors,coauthor_count,coauthor_countries_counts,group,gender,coauthor_genders
Michael W. Russell,Senior,Mucosal Immunity in COVID-19: A Neglected but Critical Aspect of SARS-CoV-2 Infection,2020,390,4,"Zina Moldoveanu, Pearay L. Ogra, Jiří Městecký",3,{'US': 4},treatment,male,"{'M': 1, 'F': 1}"
Michael W. Russell,Senior,Mucosal immunity: The missing link in comprehending SARS-CoV-2 infection and transmission,2022,90,2,Jiří Městecký,1,{'US': 2},treatment,male,"{'M': 1, 'F': 0}"
Michael W. Russell,Senior,Experimental vaccine induces Th1-driven immune responses and resistance to Neisseria gonorrhoeae infection in a murine model,2017,106,9,"Y Liu, Laura Hammer, Wei Liu, Marcia M. Hobbs, Ryszard A. Zielke, Aleksandra E. Sikora, Ann E. Jerse, Nejat K. Egilmez",8,{'US': 8},treatment,male,"{'M': 2, 'F': 4}"
Michael W. Russell,Senior,Progress Toward a Gonococcal Vaccine: The Way Forward,2019,73,3,"Ann E. Jerse, Scott D. Gray‐Owen",2,"{'US': 2, 'CA': 1}",treatment,male,"{'M': 1, 'F': 1}"
Michael W. Russell,Senior,Type 2 diabetes is associated with loss of HDL endothelium protective functions,2018,65,8,"Tomáš Vaisar, Erica Couzens, Arnold Hwang, Carolyn E. Barlow, Laura F. DeFina, Andrew N. Hoofnagle, Francis Kim",7,{'US': 8},treatment,male,"{'M': 4, 'F': 3}"
Michael W. Russell,Senior,Microencapsulated IL-12 Drives Genital Tract Immune Responses to Intranasal Gonococcal Outer Membrane Vesicle Vaccine and Induces Resistance to Vaginal Infection with Diverse Strains of Neisseria gonorrhoeae,2022,23,6,"Yingru Liu, Laura Hammer, Jikke Daamen, Michiel Stork, Nejat K. Egilmez",5,"{'US': 4, 'NL': 2}",treatment,male,"{'M': 2, 'F': 2}"
Michael W. Russell,Senior,Intravaginal Administration of Interleukin 12 during Genital Gonococcal Infection in Mice Induces Immunity to Heterologous Strains of Neisseria gonorrhoeae,2018,36,7,"Yingru Liu, Julianny Perez, Laura Hammer, Heather C. Gallagher, Magdia De Jesus, Nejat K. Egilmez",6,{'US': 7},treatment,male,"{'M': 1, 'F': 2}"
Michael W. Russell,Senior,Immune Responses to <i>Neisseria gonorrhoeae</i>: Challenges and Opportunities With Respect to Pelvic Inflammatory Disease,2020,12,1,,0,{'US': 1},treatment,male,"{'M': 0, 'F': 0}"
Michael W. Russell,Senior,Could vaccination against <i>Neisseria gonorrhoeae</i> be on the horizon?,2018,6,1,,0,{'US': 1},treatment,male,"{'M': 0, 'F': 0}"
Michael W. Russell,Senior,Editorial: Immunity to Neisseria gonorrhoeae,2020,5,3,"Scott D. Gray‐Owen, Ann E. Jerse",2,"{'US': 2, 'CA': 1}",treatment,male,"{'M': 1, 'F': 1}"
Michael W. Russell,Senior,"Crystal structures of the sulfones of 2,3-diphenyl-2,3-dihydro-4<i>H</i>-1,3-benzothiazin-4-one and 2,3-diphenyl-2,3-dihydro-4<i>H</i>-pyrido[3,2-<i>e</i>][1,3]thiazin-4-one",2023,2,9,"Hemant P. Yennawar, Tapas K. Mal, Carlos Pacheco, Anthony F. Lagalante, Mark A. Olsen, Grace C. Muench, Quentin J. Moyer, Lee J. Silverberg",8,{'US': 9},treatment,male,"{'M': 7, 'F': 1}"
Michael W. Russell,Senior,Historical Perspectives on Mucosal Vaccines,2019,4,2,Pearay L. Ogra,1,{'US': 2},treatment,male,"{'M': 0, 'F': 0}"
Michael W. Russell,Senior,Regional socioeconomic factors and length of hospital stay: a case study in Appalachia,2021,3,5,"Sadaf Kabir, Leily Farrokhvar, Alex G Forman, Behrooz Kamali",4,{'US': 5},treatment,male,"{'M': 1, 'F': 1}"
